0,1.292759,0.384146
0,1.542224,0.359756
0,1.861086,0.365854
0,2.062950,0.310976
0,2.192687,0.262195
0,2.301340,0.219512
0,2.324572,0.250000
0,2.370497,0.237805
0,2.399070,0.237805
0,2.435610,0.237805
0,2.443444,0.237805
0,2.448109,0.237805
0,2.442743,0.243902
0,2.436145,0.243902
0,2.440961,0.243902
0,2.477281,0.243902
0,2.444903,0.250000
0,2.436173,0.256098
0,2.445330,0.250000
0,2.420500,0.256098
0,2.409180,0.256098
0,2.492652,0.243902
0,2.446345,0.256098
0,2.478831,0.250000
0,2.511133,0.243902
0,2.463253,0.256098
0,2.492847,0.250000
0,2.519467,0.243902
0,2.504424,0.250000
0,2.520103,0.237805
